"","cell_clustering","CD117_ckit","CD11b","CD11c","CD19","CD206_MMR","CD25_IL2R","CD38","CD3e","CD4","CD44","CD45R","CD49b","CD5","CD62L_L_selectin","CD69","CD8a","F4_80","FceR1a","Foxp3","Gata3","IA_IE_MHC_class_II","IgM","Ly6C","Ly6G","ROR_gamma_t","Tbet","proportion"
"181",181,0,0,1,0.641307082271062,0,0,0.602210083396907,0,0,0.184703015073585,0.404016295338967,0,0,0.240846921768473,0,0,0,0.159161461245656,0,0,0.796970858831525,0.418489625566545,0,0,0,0,0.09
"182",182,0,0,0.63743943395579,0.182775664142561,0,0,0.163680978872666,0,0,0.0195649469577335,0.0959416762005632,0,0,0,0,0,0,0.0640529482119657,0,0,0.638407090251382,0.0391558495712073,0,0.0233897841413845,0,0,0.28
"183",183,0,0,0.487997728619211,0.517523425946163,0,0,0.374018384582719,0,0,0.0519141583166717,0.213657008830015,0,0,0.488033121490998,0,0,0,0.133840239081737,0,0,0.715254226414001,0.164436739018561,0,0,0,0,0.26
"184",184,0.0101927193925768,0,0.659805210986218,0.501780521236171,0,0,0.592762676618544,0,0,0.0801360537309302,0.301893255149639,0,0,0.0683362647979223,0,0,0,0.358292269379256,0,0,0.809892942123796,0.121846083400356,0,0.111122138601844,0,0,0.27
"185",185,0.02902342396556,0,0.486766407411197,0.646907516760375,0,0,0.652668343010475,0,0.0449345809269082,0.390619044177894,0.333608208865391,0,0,0.0615525544934866,0,0,0,0.360882660742139,0,0,0.819740613262997,0.0658785211898054,0,0.0156055753977012,0,0,0.26
"186",186,0,0,0,0.504521428748239,0,0,0.613134421110266,0,0,0.270102206673582,0.65457342534424,0,0,0.0110182032692458,0,0,0,0.118164953253876,0,0,0.833480287582505,0.0397691140145566,0,0,0,0,0.29
"187",187,0,0,0,0.626448152163326,0,0,0.602157921803649,0,0,0.0901010395963172,0.259063704306575,0.712722890841752,0,0.505058052602474,0,0,0,0.0965593189649393,0,0,0.798588894667812,0.442122110433988,0,0,0,0,0.26
"188",188,0,0,0,0.634943931692627,0,0,0.467131131261928,0,0,0.362205534251223,0.0776251008567949,0,0,0,0,0,0,0.112463504117905,0,0,0.792686139123786,0,0,0,0,0,0.35
"189",189,0,0,0,0.770740273540558,0,0,0.72399888235572,0,0,0.245148468427431,0.20222606402284,0,0,0.0121824837154961,0,0,0,0.0926122368327566,0,0,0.834301511704987,0.0442966867813645,0,0,0,0,0.33
"190",190,0,0,0,0.647959550596527,0,0,0.153827794158763,0,0.00570563362138925,0.427032476143324,0.0987708968696658,0,0,0,0,0,0,0,0,0,0.67403597638719,0,0,0,0,0,0.22
